"DOWN","YTG","FIELD_LOC","FIRST_DOWN_PCT","SNAPS"
3,4,"My 40 to your 40",55.4,2764
3,4,"My Goal to my 19",49.2,474
3,4,"Your 19 to your Goal",48.5,1675
3,4,"Your 39 to your 20",63.4,1862
3,5,"My 20 to my 39",45.1,3097
3,5,"My 40 to your 40",49.5,2711
3,5,"My Goal to my 19",42.9,625
3,5,"Your 19 to your Goal",44.3,1547
3,5,"Your 39 to your 20",56.9,1880
3,6,"My 20 to my 39",42,2970
3,6,"My 40 to your 40",45.4,2621
3,6,"My Goal to my 19",36.4,682
3,6,"Your 19 to your Goal",41.3,1326
3,6,"Your 39 to your 20",52.3,1808
3,7,"My 20 to my 39",36.7,3017
3,7,"My 40 to your 40",43.6,2457
3,7,"My Goal to my 19",34.6,723
3,7,"Your 19 to your Goal",38.2,1189
3,7,"Your 39 to your 20",46.1,1634
3,8,"My 20 to my 39",35.3,2990
3,8,"My 40 to your 40",37.6,2210
3,8,"My Goal to my 19",32.2,720
3,8,"Your 19 to your Goal",33,996
3,8,"Your 39 to your 20",42.2,1576
3,9,"My 20 to my 39",31.6,2395
3,9,"My 40 to your 40",38.9,1847
3,9,"My Goal to my 19",30.7,703
3,9,"Your 19 to your Goal",32.9,733
3,9,"Your 39 to your 20",38.6,1245
3,10,"My 20 to my 39",32,3793
3,10,"My 40 to your 40",35.1,2913
3,10,"My Goal to my 19",25.6,973
3,10,"Your 19 to your Goal",29.1,882
3,10,"Your 39 to your 20",40.9,2106
3,11,"My 20 to my 39",29.5,1374
3,11,"My 40 to your 40",32.9,1020
3,11,"My Goal to my 19",23.3,587
3,11,"Your 19 to your Goal",26.6,354
3,11,"Your 39 to your 20",33.9,729
3,12,"My 20 to my 39",23.6,1105
3,12,"My 40 to your 40",27.6,865
3,12,"My Goal to my 19",20.1,492
3,12,"Your 19 to your Goal",29.4,218
3,12,"Your 39 to your 20",31,577
3,13,"My 20 to my 39",23.3,861
3,13,"My 40 to your 40",26.6,708
3,13,"My Goal to my 19",16.3,411
3,13,"Your 19 to your Goal",25.7,183
3,13,"Your 39 to your 20",22.9,459
3,14,"My 20 to my 39",22.4,715
3,14,"My 40 to your 40",25.4,540
3,14,"My Goal to my 19",19.2,355
3,14,"Your 19 to your Goal",23.2,125
3,14,"Your 39 to your 20",23.1,372
3,15,"My 20 to my 39",17.8,746
3,15,"My 40 to your 40",25.2,511
3,15,"My Goal to my 19",18.3,372
3,15,"Your 19 to your Goal",27,115
3,15,"Your 39 to your 20",23,379
3,16,"My 20 to my 39",18.6,413
3,16,"My 40 to your 40",22.5,369
3,16,"My Goal to my 19",14.6,308
3,16,"Your 19 to your Goal",29.5,61
3,16,"Your 39 to your 20",20.2,252
3,17,"My 20 to my 39",20.1,358
3,17,"My 40 to your 40",19.7,310
3,17,"My Goal to my 19",14.3,265
3,17,"Your 19 to your Goal",11.9,42
3,17,"Your 39 to your 20",15.4,208
3,18,"My 20 to my 39",11.7,325
3,18,"My 40 to your 40",22.9,218
3,18,"My Goal to my 19",11.2,197
3,18,"Your 19 to your Goal",4.2,24
3,18,"Your 39 to your 20",17.5,183
3,19,"My 20 to my 39",14.6,246
3,19,"My 40 to your 40",20.5,185
3,19,"My Goal to my 19",13.2,189
3,19,"Your 39 to your 20",18.8,149
3,20,"My 20 to my 39",7.1,238
3,20,"My 40 to your 40",15.1,225
3,20,"My Goal to my 19",14.1,205
3,20,"Your 39 to your 20",13.8,174
3,21,"My 20 to my 39",10.8,139
3,21,"My 40 to your 40",18.4,125
3,21,"My Goal to my 19",11.9,135
3,21,"Your 39 to your 20",12.2,90
3,22,"My 20 to my 39",7.1,113
3,22,"My 40 to your 40",9.3,108
3,22,"My Goal to my 19",11.6,95
3,22,"Your 39 to your 20",14.5,62
3,23,"My 20 to my 39",8.1,86
3,23,"My 40 to your 40",5.9,85
3,23,"My Goal to my 19",7,86
3,23,"Your 39 to your 20",9.4,64
3,24,"My 20 to my 39",9.8,82
