"YTG_START","QTR_START","T_ELAPSED","TOT_YDS","FIRST_DOWNS","NPLAYS","POINTS","PLAYS_PER_1STDOWN","FG","TD","INT","FUMBLE","BLITZ_PER_PLAY","YDS_PER_PLAY","CARRY","ATT"
41,1,99,4,0,3,0,3,0,0,0,0,0.67,1.33,2,1
96,1,107,-2,0,3,0,3,0,0,0,0,0.33,-0.67,4,0
80,4,13,15,0,1,0,1,0,0,0,1,1,15,0,15
83,4,74,17,1,5,0,2.5,0,0,0,0,0,3.4,-1,4.5
96,4,452,42,3,10,0,2.5,0,0,0,0,0,3.9,3.9,0
90,1,201,19,1,6,0,3,0,0,0,0,0,9.17,4.5,7.67
78,4,88,34,1,3,0,1.5,0,0,0,1,0.67,11.33,7,13.5
74,2,138,-5,0,3,0,3,0,0,0,0,0.33,-1.67,1.5,0
85,4,23,0,0,3,0,3,0,0,1,0,0.33,9.67,0,9.67
48,1,83,-1,0,3,0,3,0,0,0,0,0.33,4.67,0,4.67
48,3,305,48,4,10,7,2,0,1,0,0,0,5.3,5.17,4.4
86,1,96,-2,1,4,0,2,0,0,0,1,0.5,-0.5,2,7.5
65,2,12,-1,0,1,0,1,0,0,0,0,0,-1,-1,0
80,3,210,76,5,11,0,1.8,0,0,0,0,0.36,4.82,-1,6.44
71,3,139,17,1,4,0,2,0,0,0,0,0,4.25,3,5.5
84,2,73,12,1,4,0,2,0,0,0,0,0.25,3,1,3.67
64,2,19,25,2,4,0,1.3,0,0,0,0,0,6.25,0,8.33
89,4,38,32,1,2,0,1,0,0,0,1,0.5,16,0,39
80,1,196,80,4,7,7,1.4,0,1,0,0,0.29,9.29,2.67,14.25
85,1,98,9,0,3,0,3,0,0,0,0,0,3,5,2
86,4,430,72,5,13,3,2.2,1,0,0,0,0.08,5.15,5.58,0
80,1,91,6,0,3,0,3,0,0,0,0,1,4,3,0
80,4,344,80,4,10,7,2,0,1,0,0,0,8,1.2,14.8
69,1,230,34,3,11,0,2.8,0,0,0,0,0,2.64,4,2.17
80,1,86,4,0,3,0,3,0,0,0,0,0.33,1.33,2,0
63,2,218,30,2,7,0,2.3,0,0,0,0,0.14,4.29,-1,6.2
86,2,120,7,0,3,0,3,0,0,0,0,0.33,8.67,3,7.67
80,1,26,0,0,3,0,3,0,0,0,0,0.67,0,0,0
44,3,107,6,0,3,0,3,0,0,0,0,0,2,0,5
60,4,174,60,5,13,7,2.2,0,1,0,0,0.08,6,5,5.27
79,2,208,79,5,9,7,1.5,0,1,0,0,0.11,5.89,1,7.14
86,2,216,21,2,6,0,2,0,0,0,0,0,3,3,4
90,2,118,7,0,3,0,3,0,0,0,0,0.33,7.33,3.5,7.5
36,2,40,3,1,6,0,3,0,0,0,0,0.67,2.17,0,2.17
90,2,163,18,1,5,0,2.5,0,0,0,0,0.4,3.6,1.5,10.5
64,4,66,2,0,3,0,3,0,0,0,0,0.67,0.67,0,0.67
65,3,57,5,0,3,0,3,0,0,0,0,0,1.67,0,1.67
90,3,276,53,3,9,0,2.3,0,0,1,0,0.22,7.11,3.67,12.4
12,1,63,3,0,4,3,4,1,0,0,0,0.25,0.75,3,0
80,3,103,5,0,3,0,3,0,0,0,0,0,1.67,6,-0.5
73,4,97,39,1,3,0,1.5,0,0,0,1,0.67,13,2,18.5
68,1,269,68,5,9,7,1.5,0,1,0,0,0.11,7.56,6.2,9.25
95,4,288,92,5,12,0,2,0,0,0,0,0.33,8.58,3,8.82
80,1,124,-1,1,4,0,2,0,0,0,0,0.25,-0.25,0,6.5
84,1,153,84,2,6,7,2,0,1,0,0,0.17,7.83,3,17.5
97,2,104,97,7,10,7,1.3,0,1,0,0,0.5,8.2,11,7.89
64,2,295,62,4,13,3,2.6,1,0,0,0,0.31,3.46,4,3.13
65,3,64,-2,1,4,0,2,0,0,0,0,0,-1.5,1,0
77,1,457,77,7,13,7,1.6,0,1,0,0,0.15,5.92,5.43,10.2
91,1,371,74,5,14,3,2.3,1,0,0,0,0.21,4.57,5.6,4.5
80,2,8,-1,0,1,0,1,0,0,0,0,0,-8,-1,0
55,2,72,17,1,5,3,2.5,1,0,0,0,0.2,3.4,0,4.25
70,1,99,-2,0,3,0,3,0,0,0,0,0.33,1,3,0
