"NAME","P1","P2","P3","P4","P5","BLITZ_PROB","YDS_PER_PLAY","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT"
"Houston Cougars","Markeith Ambles","Wayne Beadle","Ryan Jackson","Deontay Greenberry","Steven Dunbar",0.13,5.2,54.2,4.8,13.3,6.7
"Houston Cougars","Total","Total","Total","Total","Total",0.18,5.8,62.2,5.5,11.1,6.8
"Houston Cougars","Markeith Ambles","Wayne Beadle","Kenneth Farrow","Deontay Greenberry","Demarcus Ayers",0.13,6,76.9,4.7,10.1,7.8
"Illinois Fighting Illini","Total","Total","Total","Total","Total",0.2,5.3,61.3,4.1,11.3,6.9
"Illinois Fighting Illini","Martize Barr","Josh Ferguson","Justin Hardee","Geronimo Allison","Mike Dudek",0.31,6.3,60.5,4.3,14.1,8.5
"Indiana Hoosiers","Michael Cooper","Nick Stoner","Shane Wynn","Tevin Coleman","J-Shun Harris II",0.2,6.8,82.6,5.3,11.6,9.6
"Indiana Hoosiers","Total","Total","Total","Total","Total",0.12,5.5,54.7,6.2,10.1,5.4
"Iowa Hawkeyes","Kevonte Martin-Manley","Damon Bullock","Jake Duzey","Tevaun Smith","Damond Powell",0.2,6.7,59.5,8.7,11,6.4
"Iowa Hawkeyes","Total","Total","Total","Total","Total",0.17,5.5,60.6,4.6,11.7,7.1
"Iowa Hawkeyes","Kevonte Martin-Manley","Damon Bullock","Jake Duzey","Jacob Hillyer","Tevaun Smith",0.26,4.9,58.8,3.5,9.7,5.7
"Iowa State Cyclones","Total","Total","Total","Total","Total",0.2,4.8,55.6,4,10.6,5.9
"Iowa State Cyclones","Jarvis West","Dondre Daley","Aaron Wimberly","E.J. Bibbs","Allen Lazard",0.23,4,62.1,3.3,9.3,5.4
"Iowa State Cyclones","Jarvis West","D'vario Montgomery","Aaron Wimberly","E.J. Bibbs","Allen Lazard",0.23,4,43.2,4,10.4,4.5
"Kansas Jayhawks","Nick Harwell","Jimmay Mundine","Tony Pierson","Nigel King","Corey Avery",0.17,3.8,62.5,0.3,14.4,8.7
"Kansas Jayhawks","Justin McCay","Nick Harwell","Jimmay Mundine","Tony Pierson","Corey Avery",0.11,3.3,48.3,2.8,9.4,4.4
"Kansas Jayhawks","Justin McCay","Nick Harwell","Jimmay Mundine","Tony Pierson","Nigel King",0.17,5.3,57.7,4.8,10.1,5.7
"Kansas Jayhawks","Justin McCay","Nick Harwell","Jimmay Mundine","Nigel King","Corey Avery",0.12,5.8,64.8,4.1,14.3,9.1
"Kansas Jayhawks","Total","Total","Total","Total","Total",0.15,4.5,56,3.4,11.9,6.5
"Kansas State Wildcats","Zach Trujillo","Curry Sexton","Tyler Lockett","Glenn Gronkowski","Charles Jones",0.11,6.6,86.7,4.2,16.5,14.3
"Kansas State Wildcats","Zach Trujillo","Curry Sexton","Tyler Lockett","Deante Burton","Charles Jones",0.18,6.9,68.4,1.8,13.7,9.4
"Kansas State Wildcats","Curry Sexton","Tyler Lockett","Deante Burton","Charles Jones","Kody Cook",0.22,7.2,67.2,5,12.6,8.2
"Kansas State Wildcats","Total","Total","Total","Total","Total",0.2,6,65.5,4,13.7,8.9
"Kansas State Wildcats","Zach Trujillo","DeMarcus Robinson","Curry Sexton","Tyler Lockett","Glenn Gronkowski",0.29,5.9,58.1,3.2,17.6,10.2
"Kansas State Wildcats","DeMarcus Robinson","Curry Sexton","Tyler Lockett","Deante Burton","Kody Cook",0.24,8.6,66.7,7.2,13.8,9
"Kentucky Wildcats","Total","Total","Total","Total","Total",0.18,5.3,58.4,4.6,12.1,6.9
"LSU Tigers","Total","Total","Total","Total","Total",0.18,5.4,51.1,4.9,15.3,7.7
"LSU Tigers","Travis Dickson","Terrence Magee","Travin Dural","Malachi Dupre","Trey Quinn",0.3,4.4,41.4,3.7,13.4,5.6
"Louisville Cardinals","Total","Total","Total","Total","Total",0.27,5.3,56.1,3.9,13.9,7.7
"Maryland Terrapins","Total","Total","Total","Total","Total",0.24,5.2,55.9,4.2,12.6,6.9
"Maryland Terrapins","Deon Long","Marcus Leak","Brandon Ross","Stefon Diggs","Jacquille Veii",0.23,5.1,53.8,3.4,13.1,6.9
"Maryland Terrapins","Deon Long","Marcus Leak","Brandon Ross","Stefon Diggs","Andrew Isaacs",0.29,7.3,64.5,7.5,12,7.7
"Memphis Tigers","Brandon Hayes","Keiwone Malone","Alan Cross","Tevin Jones","Mose Frazier",0.14,7.4,63.2,9.1,10.2,6.4
"Memphis Tigers","Total","Total","Total","Total","Total",0.18,5.4,63.9,4.3,11.7,7.4
"Miami (FL) Hurricanes","Clive Walford","Phillip Dorsett","Duke Johnson","Malcolm Lewis","Braxton Berrios",0.22,8.4,52.4,8.4,16.4,8.4
"Miami (FL) Hurricanes","Total","Total","Total","Total","Total",0.19,6.5,58.5,5.5,14.4,8.3
"Miami (FL) Hurricanes","Clive Walford","Phillip Dorsett","Duke Johnson","Malcolm Lewis","Standish Dobard",0.14,7.8,66.7,7.4,17,11.3
"Michigan State Spartans","Tony Lippett","Keith Mumphery","Jeremy Langford","Macgarrett Kings Jr.","Josiah Price",0.23,5,50,4.9,11.2,5.9
"Michigan State Spartans","Total","Total","Total","Total","Total",0.17,6.5,59.1,5.2,14.6,8.7
"Michigan Wolverines","Total","Total","Total","Total","Total",0.26,5.2,57.8,4.9,10.8,6.3
"Minnesota Golden Gophers","Total","Total","Total","Total","Total",0.16,5.3,50.8,4.8,14.5,7.3
"Mississippi State Bulldogs","Total","Total","Total","Total","Total",0.18,6.5,61.8,5.5,14,8.6
"Mississippi State Bulldogs","Jameon Lewis","Malcolm Johnson","Robert Johnson","Josh Robinson","De'Runnya Wilson",0.21,6.6,60.3,6.1,13.4,8.1
"Mississippi State Bulldogs","Malcolm Johnson","Robert Johnson","Josh Robinson","Fred Ross","De'Runnya Wilson",0.07,6.8,71.4,2.7,16,11.4
"Missouri Tigers","Jimmie Hunt","Marcus Murphy","Bud Sasser","Wesley Leftwich","Sean Culkin",0.09,4.6,42.3,5.2,12.3,5
"Missouri Tigers","Jimmie Hunt","Marcus Murphy","Bud Sasser","Darius White","Sean Culkin",0.19,5.2,54.4,3.8,12.8,6.8
"Missouri Tigers","Jimmie Hunt","Bud Sasser","Darius White","Sean Culkin","Russell Hansbrough",0.13,5.7,60.2,4.3,13.2,7.8
"Missouri Tigers","Total","Total","Total","Total","Total",0.18,5.3,54.3,4.8,12,6.4
"Nebraska Cornhuskers","Kenny Bell","Ameer Abdullah","Sam Cotton","Alonzo Moore","Jordan Westerkamp",0.09,7.2,63.6,6.7,12.3,7.8
"Nebraska Cornhuskers","Total","Total","Total","Total","Total",0.16,6,53.2,5.5,14.5,7.7
"Nevada Wolf Pack","Jarred Gipson","Hasaan Henderson","Jerico Richardson","Richy Turner","Don Jackson",0.23,5.5,62.1,5.2,9.9,6.1
