REBOUNDER,WIN_LOSS,X,Y
Tristan Thompson,W,28.92619,21.75105
Shawn Marion,W,7.23352,2.33632
Kevin Love,W,6.4736,20.09923
Kevin Love,W,6.87308,31.90182
Matthew Dellavedova,W,29.91218,19.86743
Tristan Thompson,L,19.01391,4.59909
Tristan Thompson,L,11.78459,30.51389
Tristan Thompson,L,8.27112,28.98777
Tristan Thompson,L,11.88922,1.98798
Kevin Love,L,31.31331,35.63352
Tristan Thompson,L,10.19739,44.37205
Tristan Thompson,L,7.62913,2.42647
Tristan Thompson,L,22.36349,14.71072
Kevin Love,L,5.17854,47.38045
Tristan Thompson,L,14.81882,27.03324
Tristan Thompson,L,3.91449,22.18221
Tristan Thompson,L,8.70699,47.5901
Tristan Thompson,L,29.04547,17.87036
Dion Waiters,L,10.56781,23.48465
A.J. Price,L,18.73544,17.38798
Brendan Haywood,L,10.18189,24.48971
Tristan Thompson,L,23.31904,8.45867
Tristan Thompson,L,6.87984,25.35003
Brendan Haywood,L,27.73645,17.79162
Tristan Thompson,L,10.49254,17.48801
Alex Kirk,L,31.53642,15.04987
Kevin Love,L,4.29692,2.98548
Kevin Love,L,13.24035,37.42958
Tristan Thompson,L,13.38179,20.96465
Dion Waiters,L,4.62607,47.34133
Shawn Marion,L,7.58257,26.80102
Matthew Dellavedova,L,19.03086,24.10739
Kevin Love,L,7.29636,47.21744
Kevin Love,L,6.17865,28.91436
Tristan Thompson,L,6.90437,2.74376
Tristan Thompson,L,10.03722,30.21093
Tristan Thompson,L,9.35,24.41633
Brendan Haywood,L,4.04243,30.93074
Shawn Marion,L,6.98151,25.7401
Shawn Marion,L,27.91857,36.51288
Kyrie Irving,L,7.09136,25.58037
Tristan Thompson,L,17.64067,5.9346
Kevin Love,L,4.33397,33.12664
Tristan Thompson,L,11.59048,44.17447
Kevin Love,L,18.10199,26.88073
Kevin Love,L,10.00834,29.26147
Tristan Thompson,L,20.23003,12.0254
Tristan Thompson,W,15.51987,7.38408
Kevin Love,W,12.96746,9.89661
Tristan Thompson,W,-0.03534,28.56474
Tristan Thompson,W,5.85321,23.85258
Tristan Thompson,W,18.1683,16.9824
Kevin Love,W,21.87682,46.32735
Tristan Thompson,W,6.10295,29.0745
Timofey Mozgov,W,11.9205,21.79454
Kevin Love,W,7.83546,27.91444
Tristan Thompson,W,14.49163,5.68735
Timofey Mozgov,W,29.54562,29.20404
Timofey Mozgov,W,7.23301,26.24789
Timofey Mozgov,W,7.6259,25.81765
Kyrie Irving,W,4.69616,20.56716
Shawn Marion,W,7.49712,40.60795
J.R. Smith,W,24.42344,20.01134
LeBron James,W,19.50677,5.48753
Timofey Mozgov,W,7.26257,34.13472
Kevin Love,W,6.76421,9.7963
Timofey Mozgov,W,7.94391,16.7831
Timofey Mozgov,W,3.44964,14.95687
Timofey Mozgov,W,5.433,24.33399
Tristan Thompson,W,9.31154,3.26826
LeBron James,W,26.57862,37.10017
Timofey Mozgov,W,7.12634,17.30437
Kevin Love,W,14.28545,6.98626
Timofey Mozgov,W,12.95219,21.62729
Kevin Love,W,5.84641,23.44124
Kevin Love,W,8.42486,41.24168
Timofey Mozgov,W,25.22233,40.46009
Kyrie Irving,W,30.43584,28.78272
Tristan Thompson,W,7.67118,18.20799
Tristan Thompson,W,5.06682,24.36819
Tristan Thompson,W,14.43484,27.02606
Timofey Mozgov,W,9.86481,28.6752
Kevin Love,W,7.92411,29.58775
Shawn Marion,W,21.22657,19.49409
Timofey Mozgov,W,3.08016,21.26502
Tristan Thompson,W,6.88793,28.82585
Brendan Haywood,W,4.81993,2.13086
Kevin Love,W,24.32447,7.89302
Kevin Love,W,3.70121,48.36333
Shawn Marion,W,10.97339,22.87081
Timofey Mozgov,W,22.07148,41.71344
Tristan Thompson,W,14.09641,26.45881
Tristan Thompson,W,7.27896,26.70222
Kevin Love,W,7.31135,41.90741
Timofey Mozgov,W,3.10475,47.98876
Tristan Thompson,W,24.29814,41.26479
Tristan Thompson,W,21.24346,5.10739
Tristan Thompson,W,9.04701,16.17999
Kevin Love,W,7.867,29.90111
Timofey Mozgov,W,7.9574,9.57998
Tristan Thompson,W,7.81458,25.17928
Timofey Mozgov,W,22.07418,7.33639
Kevin Love,W,18.68191,46.55975
Iman Shumpert,W,27.6699,13.86585
Matthew Dellavedova,W,16.57376,47.01218
Tristan Thompson,W,14.48084,26.0394
Kyrie Irving,W,13.30884,13.4467
Tristan Thompson,W,9.54771,21.90424
Matthew Dellavedova,W,15.06072,3.03493
Timofey Mozgov,W,5.49206,33.08859
Iman Shumpert,W,6.77329,35.44066
Shawn Marion,W,10.35754,35.32157
Tristan Thompson,W,5.61668,28.41101
Tristan Thompson,W,11.8662,25.50786
Kevin Love,W,17.2422,46.58826
Shawn Marion,W,14.25169,30.20906
Tristan Thompson,W,10.51834,17.07364
Kevin Love,W,9.09375,17.09999
Timofey Mozgov,W,31.47235,29.83721
Kevin Love,W,7.2673,2.29749
Tristan Thompson,W,8.45675,29.88275
Kyrie Irving,W,4.99769,23.71404
Timofey Mozgov,W,5.74747,2.18232
Timofey Mozgov,W,16.9247,41.23193
Tristan Thompson,W,6.35747,30.9424
Tristan Thompson,W,25.74249,26.68348
Tristan Thompson,W,27.84448,35.25642
Kevin Love,W,23.96608,8.20477
Tristan Thompson,L,12.93044,16.43382
Matthew Dellavedova,L,15.16264,15.08721
Shawn Marion,L,4.88616,41.31597
Timofey Mozgov,L,7.13905,21.81278
Shawn Marion,L,25.88494,23.38875
Timofey Mozgov,L,12.4449,29.34682
Timofey Mozgov,L,4.1136,24.75305
Tristan Thompson,L,6.39871,26.47527
Timofey Mozgov,L,28.74873,14.59228
Iman Shumpert,L,6.97634,2.64167
James Jones,L,15.2412,3.05608
Timofey Mozgov,W,4.40471,4.59136
Tristan Thompson,W,21.67634,7.49832
Timofey Mozgov,W,10.13837,29.11483
Timofey Mozgov,W,5.74869,2.72371
Kyrie Irving,W,21.96003,43.15194
Timofey Mozgov,W,20.77994,5.22329
Iman Shumpert,W,15.72212,25.0278
Kyrie Irving,W,23.52383,4.78377
J.R. Smith,W,4.34216,2.11343
Tristan Thompson,W,31.34135,41.39422
Tristan Thompson,W,8.98713,23.15365
Shawn Marion,W,5.39241,2.32529
Tristan Thompson,W,22.17791,4.67748
Iman Shumpert,W,30.4849,23.2254
Timofey Mozgov,W,5.72703,23.83418
Timofey Mozgov,W,16.60069,46.89294
J.R. Smith,W,17.27156,45.89885
James Jones,W,27.66215,25.66839
Kevin Love,W,10.78369,40.38238
